annee_numero_de_tirage;date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance
20200141;2020-11-23;15;20;12;6;1;1
20211027;2021-03-03;38;8;41;49;19;7
20222049;2022-04-23;44;20;11;9;42;4
20200139;2020-11-18;28;11;14;43;41;8
20211026;2021-01-03;4;14;21;47;8;9
20222041;2022-04-04;23;22;33;36;10;6
20200134;2020-07-11;45;5;48;42;30;9
20211014;2021-01-02;1;18;45;17;21;9
20222033;2022-03-16;1;49;12;39;24;3
20200132;2020-02-11;42;43;38;33;31;3
20211012;2021-01-27;27;44;25;23;6;6
20222032;2022-03-14;11;5;32;49;9;6
20200131;2020-10-31;22;35;9;28;13;5
20211010;2021-01-23;1;19;13;24;48;5
20222028;2022-05-03;37;26;36;14;1;3
20200127;2020-10-21;35;48;33;21;15;1
20211008;2021-01-18;5;43;10;48;25;10
20222025;2022-02-26;29;39;28;22;30;3
20200125;2020-10-17;28;23;24;9;20;4
20211006;2021-01-13;32;42;30;17;41;5
20222024;2022-02-23;33;15;6;12;14;8
20200123;2020-12-10;18;7;21;42;11;3
20211002;2021-04-01;31;39;30;49;19;8
20222010;2022-01-22;26;3;39;17;30;8
20200121;2020-07-10;17;30;6;49;19;2
20200155;2020-12-26;31;3;40;35;2;7
20222008;2022-01-17;4;27;5;15;22;9
20200120;2020-05-10;6;22;19;5;9;5
20200152;2020-12-19;30;29;49;23;10;5
20222004;2022-08-01;22;42;43;17;25;10
20200119;2020-03-10;31;36;9;33;18;2
20200151;2020-12-16;21;6;41;17;16;9
20222003;2022-05-01;17;45;30;32;6;4
20200118;2020-09-30;26;24;49;32;2;5
20200149;2020-12-12;14;31;9;45;23;6
20222002;2022-03-01;33;36;34;38;22;5
20200114;2020-09-21;46;41;38;19;16;9
20200148;2020-09-12;47;17;48;39;24;7
20222001;2022-01-01;30;36;14;6;39;5
20200111;2020-09-14;23;49;5;13;32;2
20200146;2020-05-12;34;20;14;35;9;1
